Date,Time,Temperature,wind_direction,Ambient Temperature (in °C),Delta Temp (Y),Log (Y),Temperature - 1 (in °C),Delta Temp (Y-1),North,East,West,South,Wind Impact (Should be linear variation & wind speed),FACE-A,FACE-B,FACE-C
2018-02-05,10:00:00,51,260,25,26,3.258096538021482,42,17,0,1,0,0,0.0,0,1,0
2018-02-05,10:00:00,51,260,25,26,3.258096538021482,29,4,1,0,0,0,0.0,1,0,0
2018-02-05,10:00:00,53,260,25,28,3.332204510175204,30,5,1,0,0,0,0.0,0,1,0
2018-02-05,10:00:00,43,260,25,18,2.8903717578961645,30,5,1,0,0,0,0.0,0,0,1
2018-02-05,10:30:00,45,215,26,19,2.9444389791664403,42,16,0,0,1,0,0.5735764363510462,1,0,0
2018-02-05,10:30:00,41,215,26,15,2.70805020110221,39,13,0,0,1,0,0.5735764363510462,0,1,0
2018-02-05,10:30:00,54,215,26,28,3.332204510175204,50,24,0,0,0,1,0.8191520442889918,1,0,0
2018-02-05,10:30:00,61,215,26,35,3.5553480614894135,58,32,0,0,0,1,0.8191520442889918,0,1,0
2018-02-05,10:30:00,58,215,26,32,3.4657359027997265,57,31,0,0,0,1,0.8191520442889918,0,0,1
2018-02-05,10:30:00,53,215,26,27,3.295836866004329,55,29,0,1,0,0,0.0,1,0,0
2018-02-05,10:30:00,50,215,26,24,3.1780538303479458,51,25,0,1,0,0,0.0,0,1,0
2018-02-05,10:30:00,52,215,26,26,3.258096538021482,51,25,1,0,0,0,0.0,1,0,0
2018-02-05,10:30:00,38,215,26,12,2.4849066497880004,53,27,1,0,0,0,0.0,0,1,0
2018-02-05,10:30:00,40,215,26,14,2.6390573296152584,43,17,1,0,0,0,0.0,0,0,1
2018-02-05,11:00:00,49,228,27,22,3.091042453358316,45,18,0,0,1,0,0.7431448254773942,1,0,0
2018-02-05,11:00:00,46,228,27,19,2.9444389791664403,41,14,0,0,1,0,0.7431448254773942,0,1,0
2018-02-05,11:00:00,56,228,27,29,3.367295829986474,54,27,0,0,0,1,0.6691306063588582,1,0,0
2018-02-05,11:00:00,65,228,27,38,3.6375861597263857,61,34,0,0,0,1,0.6691306063588582,0,1,0
2018-02-05,11:00:00,61,228,27,34,3.5263605246161616,58,31,0,0,0,1,0.6691306063588582,0,0,1
2018-02-05,11:00:00,58,228,27,31,3.4339872044851463,53,26,0,1,0,0,0.0,1,0,0
2018-02-05,11:00:00,56,228,27,29,3.367295829986474,50,23,0,1,0,0,0.0,0,1,0
2018-02-05,11:00:00,54,228,27,27,3.295836866004329,52,25,1,0,0,0,0.0,1,0,0
2018-02-05,11:00:00,42,228,27,15,2.70805020110221,38,11,1,0,0,0,0.0,0,1,0
2018-02-05,11:00:00,40,228,27,13,2.5649493574615367,40,13,1,0,0,0,0.0,0,0,1
2018-02-05,11:30:00,52,235,28,24,3.1780538303479458,49,21,0,0,1,0,0.8191520442889918,1,0,0
2018-02-05,11:30:00,51,235,28,23,3.1354942159291497,46,18,0,0,1,0,0.8191520442889918,0,1,0
2018-02-05,11:30:00,60,235,28,32,3.4657359027997265,56,28,0,0,0,1,0.5735764363510462,1,0,0
2018-02-05,11:30:00,68,235,28,40,3.6888794541139363,65,37,0,0,0,1,0.5735764363510462,0,1,0
2018-02-05,11:30:00,67,235,28,39,3.6635616461296463,61,33,0,0,0,1,0.5735764363510462,0,0,1
2018-02-05,11:30:00,62,235,28,34,3.5263605246161616,58,30,0,1,0,0,0.0,1,0,0
2018-02-05,11:30:00,55,235,28,27,3.295836866004329,56,28,0,1,0,0,0.0,0,1,0
2018-02-05,11:30:00,56,235,28,28,3.332204510175204,54,26,1,0,0,0,0.0,1,0,0
2018-02-05,11:30:00,44,235,28,16,2.772588722239781,42,14,1,0,0,0,0.0,0,1,0
2018-02-05,11:30:00,41,235,28,13,2.5649493574615367,40,12,1,0,0,0,0.0,0,0,1
2018-02-05,12:00:00,54,248,28,26,3.258096538021482,52,24,0,0,1,0,0.9271838545667874,1,0,0
2018-02-05,12:00:00,53,248,28,25,3.2188758248682006,51,23,0,0,1,0,0.9271838545667874,0,1,0
2018-02-05,12:00:00,63,248,28,35,3.5553480614894135,60,32,0,0,0,1,0.37460659341591196,1,0,0
2018-02-05,12:00:00,67,248,28,39,3.6635616461296463,68,40,0,0,0,1,0.37460659341591196,0,1,0
2018-02-05,12:00:00,67,248,28,39,3.6635616461296463,67,39,0,0,0,1,0.37460659341591196,0,0,1
2018-02-05,12:00:00,64,248,28,36,3.58351893845611,62,34,0,1,0,0,0.0,1,0,0
2018-02-05,12:00:00,57,248,28,29,3.367295829986474,55,27,0,1,0,0,0.0,0,1,0
2018-02-05,12:00:00,54,248,28,26,3.258096538021482,56,28,1,0,0,0,0.0,1,0,0
2018-02-05,12:00:00,42,248,28,14,2.6390573296152584,44,16,1,0,0,0,0.0,0,1,0
2018-02-05,12:00:00,40,248,28,12,2.4849066497880004,41,13,1,0,0,0,0.0,0,0,1
2018-02-05,12:30:00,56,250,31,25,3.2188758248682006,54,23,0,0,1,0,0.9396926207859084,1,0,0
2018-02-05,12:30:00,55,250,31,24,3.1780538303479458,53,22,0,0,1,0,0.9396926207859084,0,1,0
2018-02-05,12:30:00,65,250,31,34,3.5263605246161616,63,32,0,0,0,1,0.3420201433256688,1,0,0
2018-02-05,12:30:00,69,250,31,38,3.6375861597263857,67,36,0,0,0,1,0.3420201433256688,0,1,0
2018-02-05,12:30:00,69,250,31,38,3.6375861597263857,67,36,0,0,0,1,0.3420201433256688,0,0,1
2018-02-05,12:30:00,61,250,31,30,3.4011973816621555,64,33,0,1,0,0,0.0,1,0,0
2018-02-05,12:30:00,56,250,31,25,3.2188758248682006,57,26,0,1,0,0,0.0,0,1,0
2018-02-05,12:30:00,55,250,31,24,3.1780538303479458,54,23,1,0,0,0,0.0,1,0,0
2018-02-05,12:30:00,40,250,31,9,2.1972245773362196,42,11,1,0,0,0,0.0,0,1,0
2018-02-05,12:30:00,43,250,31,12,2.4849066497880004,40,9,1,0,0,0,0.0,0,0,1
2018-02-05,13:30:00,60,232,33,27,3.295836866004329,56,23,0,0,1,0,0.7880107536067219,1,0,0
2018-02-05,13:30:00,56,232,33,23,3.1354942159291497,55,22,0,0,1,0,0.7880107536067219,0,1,0
2018-02-05,13:30:00,67,232,33,34,3.5263605246161616,65,32,0,0,0,1,0.6156614753256583,1,0,0
2018-02-05,13:30:00,67,232,33,34,3.5263605246161616,69,36,0,0,0,1,0.6156614753256583,0,1,0
2018-02-05,13:30:00,69,232,33,36,3.58351893845611,69,36,0,0,0,1,0.6156614753256583,0,0,1
2018-02-05,13:30:00,59,232,33,26,3.258096538021482,61,28,0,1,0,0,0.0,1,0,0
2018-02-05,13:30:00,53,232,33,20,2.995732273553991,56,23,0,1,0,0,0.0,0,1,0
2018-02-05,13:30:00,52,232,33,19,2.9444389791664403,55,22,1,0,0,0,0.0,1,0,0
2018-02-05,13:30:00,40,232,33,7,1.9459101490553132,40,7,1,0,0,0,0.0,0,1,0
2018-02-05,13:30:00,39,232,33,6,1.791759469228055,43,10,1,0,0,0,0.0,0,0,1
2018-02-05,14:30:00,56,236,32,24,3.1780538303479458,60,28,0,0,1,0,0.8290375725550416,1,0,0
2018-02-05,14:30:00,55,236,32,23,3.1354942159291497,56,24,0,0,1,0,0.8290375725550416,0,1,0
2018-02-05,14:30:00,64,236,32,32,3.4657359027997265,67,35,0,0,0,1,0.5591929034707468,1,0,0
2018-02-05,14:30:00,61,236,32,29,3.367295829986474,67,35,0,0,0,1,0.5591929034707468,0,1,0
2018-02-05,14:30:00,63,236,32,31,3.4339872044851463,69,37,0,0,0,1,0.5591929034707468,0,0,1
2018-02-05,14:30:00,53,236,32,21,3.044522437723423,59,27,0,1,0,0,0.0,1,0,0
2018-02-05,14:30:00,46,236,32,14,2.6390573296152584,53,21,0,1,0,0,0.0,0,1,0
2018-02-05,14:30:00,40,236,32,8,2.0794415416798357,52,20,1,0,0,0,0.0,1,0,0
2018-02-05,14:30:00,38,236,32,6,1.791759469228055,40,8,1,0,0,0,0.0,0,1,0
2018-02-05,14:30:00,36,236,32,4,1.3862943611198906,39,7,1,0,0,0,0.0,0,0,1
2018-02-05,15:00:00,55,250,30,25,3.2188758248682006,56,26,0,0,1,0,0.9396926207859084,1,0,0
2018-02-05,15:00:00,54,250,30,24,3.1780538303479458,55,25,0,0,1,0,0.9396926207859084,0,1,0
2018-02-05,15:00:00,61,250,30,31,3.4339872044851463,64,34,0,0,0,1,0.3420201433256688,1,0,0
2018-02-05,15:00:00,61,250,30,31,3.4339872044851463,61,31,0,0,0,1,0.3420201433256688,0,1,0
2018-02-05,15:00:00,60,250,30,30,3.4011973816621555,63,33,0,0,0,1,0.3420201433256688,0,0,1
2018-02-05,15:00:00,46,250,30,16,2.772588722239781,53,23,0,1,0,0,0.0,1,0,0
2018-02-05,15:00:00,44,250,30,14,2.6390573296152584,46,16,0,1,0,0,0.0,0,1,0
2018-02-05,15:00:00,34,250,30,4,1.3862943611198906,40,10,1,0,0,0,0.0,1,0,0
